row,id,name,distance,notes
2527,N30 Aql B,,24.56,also in HIP
2528,N53 Peg,Ross 778,24.57,
2529,N42 And,,24.58,
2530,N14 Lep,,24.61,
2531,N24 Phe,,24.61,
2532,N50 Eri,,24.62,
2533,N86 UMa,,24.62,
2534,N35 Gem,Ross 62,24.63,
2535,N36 Gem,,24.63,SB 32.81 days in YPC; occultation triple in YPC; SB in YPC
2536,N36 Gem B,,24.63,
2537,N36 Gem C,,24.63,spectroscopic companion
2538,N23 Sgr,Ross 162,24.63,HIP plx shows > 25 pc
2539,N54 Peg,,24.65,
2540,N24 Per,,24.65,SB 331 days in YPC
2541,N24 Per B,,24.65,
2542,N55 Peg,,24.68,
2543,N55 Peg B,,24.68,
2544,N49 Tau,,24.69,
2545,N14 Vul,,24.69,
2546,N14 Vul B,,24.69,from HIP; also in YPC; imaged companion in HIP
2547,N39 Cyg,,24.7,
2548,N9 Oct,,24.72,YPC negative parallax set = 0
2549,N64 Vir,,24.72,
2550,N64 Vir B,,24.72,
2551,N17 Gru,,24.73,
2552,N9 CMi,,24.73,
2553,N74 Her,,24.73,
2554,N58 Boo,,24.74,
2555,N15 Vul,,24.75,
2556,N43 And,,24.75,
2557,N10 Lup,,24.76,
2558,N25 Lib,,24.76,
2559,N51 Aqr,,24.76,
2560,N52 Oph,Sabik,24.76,CNS91 component C not confirmed/refuted
2561,N52 Oph B,,24.76,
2562,N87 UMa,,24.78,
2563,N29 Ser,,24.79,
2564,N29 Ser B,,24.79,
2565,N34 Cam,,24.8,
2566,N6 Equ,,24.8,
2567,N19 Mon,,24.8,
2568,N56 Peg,,24.8,
2569,N20 For,,24.81,plx different from B/C. HIP 1 said A > 25pc; HIP2 said B/C > 25pc
2570,N20 For B,,24.81,
2571,N20 For C,,24.81,from HIP
2572,N50 Tau,,24.81,
2573,N35 Cam,,24.83,
2574,N65 Vir,,24.83,
2575,N44 And,,24.84,
2576,N40 Cyg,,24.85,
2577,N40 Cyg B,,24.85,
2578,N52 Aqr,,24.85,SB2 in Sar61
2579,N52 Aqr B,,24.85,
2580,N52 Aqr C,,24.85,spectroscopic companion
2581,N73 Cet,,24.88,
2582,N37 Gem,,24.88,
2583,N66 Vir,,24.88,
2584,N66 Vir B,,24.88,
2585,N30 Ser,,24.88,
2586,N51 Eri,,24.88,
2587,N52 Eri,,24.89,
2588,N15 Lep,,24.89,SB in CNS69 not in CNS91; additional components
2589,N59 Boo,,24.89,
2590,N51 Tau,,24.9,SB2 in Tok91
2591,N51 Tau B,,24.9,spectroscopic companion
2592,N88 UMa,,24.91,
2593,N89 UMa,Megrez,24.91,
2594,N74 Cet,Kaffaljidhma,24.93,
2595,N74 Cet B,,24.93,
2596,N74 Cet C,,24.93,
2597,N8 UMi,,24.94,
2598,N9 Crv,,24.94,CNS91 companion refuted via 2 DSS epochs
2599,N32 Cep,,24.94,
2600,N10 Crv,,24.96,
2601,N10 Crv B,,24.96,
2602,N38 Gem,,24.98,
2603,N38 Gem B,Ross 419,24.98,Record added from MOD1A.000620.update
2604,N53 Eri,68 Eri,24.99,
2605,N53 Oph,,24.99,
2606,N75 Her,,24.99,
2607,N60 Boo,,25,On border of 25pc with large error and no Hipparcos plx
2608,N31 Ser,,25,On border of 25pc with large error and no Hipparcos plx
2609,N4 Sct,Wolf 1462,25,
